Latitude (decimal degrees):	10.026
Longitude (decimal degrees):	76.329
Elevation (m):	6
Radiation database:	PVGIS-ERA5


Slope: 23 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,21.6,1.66,0.0
20230101:0130,55.29,102.43,3.31,21.33,1.72,0.0
20230101:0230,251.15,329.9,16.6,21.65,1.52,0.0
20230101:0330,451.21,584.9,29.32,24.28,1.17,0.0
20230101:0430,597.82,799.72,40.96,26.36,1.03,0.0
20230101:0530,678.05,942.73,50.55,27.96,0.62,0.0
20230101:0630,690.76,983.48,56.26,29.32,0.28,0.0
20230101:0730,691.14,970.96,56.05,30.35,0.9,0.0
20230101:0830,626.51,855.6,50.03,30.88,1.66,0.0
20230101:0930,529.5,703.88,40.27,30.91,2.34,0.0
20230101:1030,437.02,573.67,28.54,30.46,3.03,0.0
20230101:1130,235.17,320.47,15.77,29.66,3.31,0.0
20230101:1230,44.68,91.78,2.45,28.35,3.03,0.0
20230101:1330,0.0,0.0,0.0,27.11,2.62,0.0
20230101:1430,0.0,0.0,0.0,26.58,1.93,0.0
20230101:1530,0.0,0.0,0.0,26.14,1.17,0.0
20230101:1630,0.0,0.0,0.0,24.9,0.9,0.0
20230101:1730,0.0,0.0,0.0,24.25,1.03,0.0
20230101:1830,0.0,0.0,0.0,23.47,1.24,0.0
20230101:1930,0.0,0.0,0.0,23.11,1.31,0.0
20230101:2030,0.0,0.0,0.0,22.63,1.52,0.0
20230101:2130,0.0,0.0,0.0,22.34,1.66,0.0
20230101:2230,0.0,0.0,0.0,22.19,1.79,0.0
20230101:2330,0.0,0.0,0.0,22.04,1.86,0.0
20230102:0030,0.0,0.0,0.0,21.87,1.86,0.0
20230102:0130,53.14,99.34,3.23,21.59,1.79,0.0
20230102:0230,240.6,316.53,16.53,21.68,1.52,0.0
20230102:0330,449.44,582.14,29.27,24.04,1.17,0.0
20230102:0430,604.04,811.91,40.94,26.16,0.83,0.0
20230102:0530,684.65,960.72,50.56,27.77,0.34,0.0
20230102:0630,727.33,1035.45,56.32,29.04,0.55,0.0
20230102:0730,732.97,1023.04,56.16,30.07,1.52,0.0
20230102:0830,687.06,931.28,50.16,30.37,2.55,0.0
20230102:0930,597.7,786.52,40.41,30.12,3.66,0.0
20230102:1030,441.03,571.52,28.67,29.56,4.28,0.0
20230102:1130,232.2,313.91,15.9,28.62,4.14,0.0
20230102:1230,41.89,86.15,2.57,27.6,3.31,0.0
20230102:1330,0.0,0.0,0.0,26.62,2.48,0.0
20230102:1430,0.0,0.0,0.0,26.23,1.72,0.0
20230102:1530,0.0,0.0,0.0,25.72,1.38,0.0
20230102:1630,0.0,0.0,0.0,24.94,1.38,0.0
20230102:1730,0.0,0.0,0.0,24.49,1.17,0.0
20230102:1830,0.0,0.0,0.0,23.64,1.31,0.0
20230102:1930,0.0,0.0,0.0,23.08,1.24,0.0
20230102:2030,0.0,0.0,0.0,22.42,1.45,0.0
20230102:2130,0.0,0.0,0.0,21.82,1.52,0.0
20230102:2230,0.0,0.0,0.0,21.35,1.45,0.0
20230102:2330,0.0,0.0,0.0,20.91,1.52,0.0
20230103:0030,0.0,0.0,0.0,20.51,1.59,0.0
20230103:0130,55.54,103.31,3.15,20.21,1.72,0.0
20230103:0230,261.11,341.3,16.47,20.64,1.52,0.0
20230103:0330,461.55,596.56,29.22,23.63,1.24,0.0
20230103:0430,606.58,809.06,40.91,25.76,1.1,0.0
20230103:0530,687.9,954.5,50.58,27.54,0.69,0.0
20230103:0630,715.85,1030.05,56.39,28.93,0.14,0.0
20230103:0730,675.93,945.87,56.28,29.86,0.76,0.0
20230103:0830,665.14,910.08,50.3,30.16,1.66,0.0
20230103:0930,597.89,796.35,40.54,30.19,2.62,0.0
20230103:1030,431.18,563.19,28.8,29.84,3.17,0.0
20230103:1130,238.01,322.87,16.02,29.09,3.38,0.0
20230103:1230,43.75,89.3,2.69,27.9,2.97,0.0
20230103:1330,0.0,0.0,0.0,26.76,2.62,0.0
